seed,arm,inventory_sigma,max_drawdown,fills,final_pnl,t_stat,max_abs_inventory,quote_crossings
270,skew_only,54.20268472133092,-61300.159299543004,580.0,-10018.247725653899,-0.20752950526606756,100.0,0.0
270,as,53.198926154575716,-73007.20317471967,349.0,-6412.727971773622,-0.12711536170591364,100.0,0.0
271,fixed,52.78122995914362,-3640.763331778127,562.0,-1881.0866076828067,-0.5487149130044365,100.0,0.0
271,spread_matched,36.54181599209322,-3896.135191442409,375.0,-1694.2220237853676,-0.5752372502006925,100.0,0.0
271,skew_only,47.717863311342846,-3376.71737710595,565.0,-1941.152318048022,-0.6384168966477759,100.0,0.0
271,as,36.441816296666666,-3280.7574876274284,384.0,-1281.846763063974,-0.4557710951792359,100.0,0.0
272,fixed,45.202689079301464,-53050.75690598025,523.0,-34025.5180532881,-1.568137706455351,100.0,0.0
272,spread_matched,46.96888093195324,-52032.133398622,326.0,-1596.7781859220468,-0.06714329884934836,100.0,0.0
272,skew_only,39.425524409955536,-45347.23525753066,540.0,-25908.223795434176,-1.391529621208217,100.0,0.0
272,as,38.18012539266994,-49582.11883561956,328.0,-432.012669170912,-0.018349951206016117,100.0,0.0
273,fixed,56.76904077928391,-22955.176897418925,541.0,-10910.402128441248,-0.5549613323562739,100.0,0.0
273,spread_matched,42.96729871658212,-14396.069014573783,344.0,3452.3746985557314,0.19167989843695585,100.0,0.0
273,skew_only,52.093204691207085,-17670.633380932934,553.0,-7894.630097370902,-0.4539508493820197,100.0,0.0
273,as,33.236678158323826,-13714.053480708631,353.0,-5483.450861271893,-0.47007862176076115,90.0,0.0
274,fixed,52.557622463349695,-17292.33768851869,502.0,-4840.985088043329,-0.4259397520297309,100.0,0.0
274,spread_matched,40.22866833490763,-19905.417370625233,312.0,-9813.446469006498,-0.793211675248321,100.0,0.0
274,skew_only,49.80293963211409,-17118.75801231877,520.0,-3519.567952602481,-0.3334517533609818,100.0,0.0
274,as,40.60201373084838,-19223.90311446492,321.0,-11182.542623680605,-1.0471609064893206,100.0,0.0
275,fixed,47.959668211946585,-121071.1822980549,550.0,2077.078528020769,0.02309206425143122,100.0,0.0
275,spread_matched,33.11843159027915,-138537.86147572132,325.0,-10703.256482675128,-0.11458579450599195,100.0,0.0
275,skew_only,50.343206483099586,-104444.25204438934,565.0,-1322.9732740466634,-0.015664159810578518,100.0,0.0
275,as,36.10456763347264,-106544.83807470993,337.0,-3189.956047840118,-0.041191941279425985,100.0,0.0
276,fixed,60.25092556135549,-22476.251996219107,558.0,-18898.467653461987,-1.2444760199027929,100.0,0.0
276,spread_matched,39.861582394581376,-13836.448053678798,349.0,-11335.920974061995,-1.208557302671968,100.0,0.0
276,skew_only,49.616371078505935,-12371.775082940063,581.0,-7811.332383353155,-0.6302711225305349,100.0,0.0
276,as,37.86506620884215,-13197.417086995349,353.0,-11129.74307572323,-1.3175634831405907,100.0,0.0
277,fixed,50.51472019124722,-3921.580156247375,562.0,1397.326602795962,0.29503980821482495,100.0,0.0
277,spread_matched,53.55070027553327,-3705.3588114743598,358.0,4804.652810459058,1.0388991176134093,100.0,0.0
277,skew_only,44.8570778250211,-3089.1791067859876,566.0,713.2007449535785,0.17482257097919307,100.0,0.0
277,as,48.15321796100443,-3419.2604602872316,356.0,3676.0736852052546,0.8766385224573391,100.0,0.0
278,fixed,42.20134173222458,-10047.14210806004,539.0,-1893.7584497848925,-0.2787759015558181,100.0,0.0
278,spread_matched,65.58574722453042,-12307.511204872837,330.0,-4033.5287506717436,-0.48603522991707215,100.0,0.0
278,skew_only,50.900612805741346,-6067.024357911704,557.0,84.54212967421654,0.01309833484664695,100.0,0.0
278,as,60.72614948273931,-12628.711990966416,342.0,-6463.569421615361,-0.9401717444581928,100.0,0.0
279,fixed,59.04553144819682,-1401164.6810708973,527.0,-510488.44620148337,-0.7702728042458552,100.0,0.0
279,spread_matched,42.926364672541276,-386802.3812083822,352.0,148164.5010706897,0.4728985214420718,100.0,0.0
279,skew_only,51.093244162022046,-1323310.8921878405,546.0,-474338.5752474858,-0.7579599866621258,100.0,0.0
279,as,43.5040466968304,-684297.9218152568,356.0,29463.595018962398,0.06221307733302419,90.0,0.0
280,fixed,44.55213035310433,-4855.393069324456,565.0,-1128.9170619900415,-0.48323264614393346,100.0,0.0
280,spread_matched,50.897972454705894,-2714.803291504151,347.0,-1448.9332368987482,-0.8698444599492466,100.0,0.0
280,skew_only,42.69742849399715,-4509.892147256873,571.0,-794.3663987094228,-0.3594041036635584,100.0,0.0
280,as,40.769988913415226,-2066.4133782436725,360.0,533.8439180026298,0.44319477978699123,100.0,0.0
281,fixed,55.103593122408995,-6685.268065719041,487.0,-451.2596805537146,-0.09698571055654417,100.0,0.0
281,spread_matched,42.65857371033401,-4819.5622600422,311.0,3149.102834786534,0.683066446963203,100.0,0.0
281,skew_only,51.618881419496105,-4859.9675677838395,507.0,923.6891590588276,0.22929278062122835,100.0,0.0
